cruise,gis_station,area_swept,cpue,spno,species_name,sex,size,chela,shell_cond,egg_color,egg_cond,clutch,collection_comments,pcr_result,year,index_site,general_location,collected_by,dna_plate_no,dna_well_no,host_tissue,preservative,sample_status,c_v_h,vessel,haul,visual_positive,prioritization,dna_quant,ratio_260_280,nssu_pcr,faint_pos,no_valid_partitions,no_positive_partitions,copies_ul,maturity,start_date,mid_latitude,mid_longitude,bottom_depth,gear_temperature
201401,I-21,0.0144787055464095,132770.92305235215,20140794,Chionoecetes opilio,1,50,NA,2,NA,NA,NA,,0,2014,6,EBS,SAP,2,G8,Leg muscle,"Frozen at sea, then transferred to 100% EtOH",Used Up/Thrown Away,201401_94_125,94,125,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,7102014,57.676,-170.29647,73,2.8
201401,I-21,0.0144787055464095,132770.92305235215,20140822,Chionoecetes opilio,1,53,NA,2,NA,NA,NA,,0,2014,6,EBS,SAP,2,E8,Leg muscle,"Frozen at sea, then transferred to 100% EtOH",Used Up/Thrown Away,201401_94_125,94,125,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,7102014,57.676,-170.29647,73,2.8
201401,I-21,0.0144787055464095,132770.92305235215,20141150,Chionoecetes opilio,2,44,NA,2,0,0,0,,0,2014,6,EBS,SAP,2,D9,Leg muscle,"Frozen at sea, then transferred to 100% EtOH",Used Up/Thrown Away,201401_94_125,94,125,NA,1,NA,NA,NA,NA,NA,NA,NA,0,7102014,57.676,-170.29647,73,2.8
201401,I-21,0.0144787055464095,132770.92305235215,20141170,Chionoecetes opilio,2,46,NA,2,0,0,0,,0,2014,6,EBS,SAP,2,D6,Leg muscle,"Frozen at sea, then transferred to 100% EtOH",Used Up/Thrown Away,201401_94_125,94,125,NA,1,NA,NA,NA,NA,NA,NA,NA,0,7102014,57.676,-170.29647,73,2.8
201401,I-21,0.0144787055464095,132770.92305235215,20141204,Chionoecetes opilio,2,48,NA,2,0,0,0,,0,2014,6,EBS,SAP,2,E6,Leg muscle,"Frozen at sea, then transferred to 100% EtOH",Used Up/Thrown Away,201401_94_125,94,125,NA,1,NA,NA,NA,NA,NA,NA,NA,0,7102014,57.676,-170.29647,73,2.8
201401,I-21,0.0144787055464095,132770.92305235215,20141219,Chionoecetes opilio,2,49,NA,2,0,0,0,,0,2014,6,EBS,SAP,2,E5,Leg muscle,"Frozen at sea, then transferred to 100% EtOH",Used Up/Thrown Away,201401_94_125,94,125,NA,1,NA,NA,NA,NA,NA,NA,NA,0,7102014,57.676,-170.29647,73,2.8
201401,I-21,0.0144787055464095,132770.92305235215,20141235,Chionoecetes opilio,2,50,NA,2,0,0,0,,0,2014,6,EBS,SAP,2,H6,Leg muscle,"Frozen at sea, then transferred to 100% EtOH",Used Up/Thrown Away,201401_94_125,94,125,NA,1,NA,NA,NA,NA,NA,NA,NA,0,7102014,57.676,-170.29647,73,2.8
201401,I-21,0.0144787055464095,132770.92305235215,20141255,Chionoecetes opilio,2,51,NA,2,0,0,0,,0,2014,6,EBS,SAP,2,D5,Leg muscle,"Frozen at sea, then transferred to 100% EtOH",Used Up/Thrown Away,201401_94_125,94,125,NA,1,NA,NA,NA,NA,NA,NA,NA,0,7102014,57.676,-170.29647,73,2.8
201401,I-21,0.0144787055464095,132770.92305235215,20141256,Chionoecetes opilio,2,51,NA,2,4,1,5,,0,2014,6,EBS,SAP,2,G7,Leg muscle,"Frozen at sea, then transferred to 100% EtOH",Used Up/Thrown Away,201401_94_125,94,125,NA,1,NA,NA,NA,NA,NA,NA,NA,1,7102014,57.676,-170.29647,73,2.8
201401,I-21,0.0144787055464095,132770.92305235215,20141257,Chionoecetes opilio,2,51,NA,2,0,0,0,,0,2014,6,EBS,SAP,2,E9,Leg muscle,"Frozen at sea, then transferred to 100% EtOH",Used Up/Thrown Away,201401_94_125,94,125,NA,1,NA,NA,NA,NA,NA,NA,NA,0,7102014,57.676,-170.29647,73,2.8
201401,I-21,0.0144787055464095,132770.92305235215,20141268,Chionoecetes opilio,2,52,NA,2,0,0,0,,0,2014,6,EBS,SAP,2,B9,Leg muscle,"Frozen at sea, then transferred to 100% EtOH",Used Up/Thrown Away,201401_94_125,94,125,NA,1,NA,NA,NA,NA,NA,NA,NA,0,7102014,57.676,-170.29647,73,2.8
201401,I-21,0.0144787055464095,132770.92305235215,20141281,Chionoecetes opilio,2,53,NA,2,4,1,5,,0,2014,6,EBS,SAP,2,C5,Leg muscle,"Frozen at sea, then transferred to 100% EtOH",Used Up/Thrown Away,201401_94_125,94,125,NA,1,NA,NA,NA,NA,NA,NA,NA,1,7102014,57.676,-170.29647,73,2.8
201401,I-21,0.0144787055464095,132770.92305235215,20141282,Chionoecetes opilio,2,53,NA,2,0,0,0,,0,2014,6,EBS,SAP,2,H5,Leg muscle,"Frozen at sea, then transferred to 100% EtOH",Used Up/Thrown Away,201401_94_125,94,125,NA,1,NA,NA,NA,NA,NA,NA,NA,0,7102014,57.676,-170.29647,73,2.8
201401,I-21,0.0144787055464095,132770.92305235215,20141283,Chionoecetes opilio,2,53,NA,2,4,1,5,,0,2014,6,EBS,SAP,2,A7,Leg muscle,"Frozen at sea, then transferred to 100% EtOH",Used Up/Thrown Away,201401_94_125,94,125,NA,1,NA,NA,NA,NA,NA,NA,NA,1,7102014,57.676,-170.29647,73,2.8
201401,I-21,0.0144787055464095,132770.92305235215,20141287,Chionoecetes opilio,2,54,NA,2,0,0,0,,0,2014,6,EBS,SAP,2,F5,Leg muscle,"Frozen at sea, then transferred to 100% EtOH",Used Up/Thrown Away,201401_94_125,94,125,NA,1,NA,NA,NA,NA,NA,NA,NA,0,7102014,57.676,-170.29647,73,2.8
201401,I-21,0.0144787055464095,132770.92305235215,20141294,Chionoecetes opilio,2,55,NA,2,4,1,5,,0,2014,6,EBS,SAP,2,F6,Leg muscle,"Frozen at sea, then transferred to 100% EtOH",Used Up/Thrown Away,201401_94_125,94,125,NA,1,NA,NA,NA,NA,NA,NA,NA,1,7102014,57.676,-170.29647,73,2.8
201401,I-21,0.0144787055464095,132770.92305235215,20141295,Chionoecetes opilio,2,55,NA,2,0,0,0,,0,2014,6,EBS,SAP,2,G6,Leg muscle,"Frozen at sea, then transferred to 100% EtOH",Used Up/Thrown Away,201401_94_125,94,125,NA,1,NA,NA,NA,NA,NA,NA,NA,0,7102014,57.676,-170.29647,73,2.8
201401,I-21,0.0144787055464095,132770.92305235215,20141296,Chionoecetes opilio,2,55,NA,2,0,0,0,,0,2014,6,EBS,SAP,2,B7,Leg muscle,"Frozen at sea, then transferred to 100% EtOH",Used Up/Thrown Away,201401_94_125,94,125,NA,1,NA,NA,NA,NA,NA,NA,NA,0,7102014,57.676,-170.29647,73,2.8
201401,I-21,0.0144787055464095,132770.92305235215,20141301,Chionoecetes opilio,2,55,NA,2,0,0,0,,0,2014,6,EBS,SAP,2,C7,Leg muscle,"Frozen at sea, then transferred to 100% EtOH",Used Up/Thrown Away,201401_94_125,94,125,NA,1,NA,NA,NA,NA,NA,NA,NA,0,7102014,57.676,-170.29647,73,2.8
201401,I-21,0.0144787055464095,132770.92305235215,20141302,Chionoecetes opilio,2,55,NA,2,4,1,5,,0,2014,6,EBS,SAP,2,H7,Leg muscle,"Frozen at sea, then transferred to 100% EtOH",Used Up/Thrown Away,201401_94_125,94,125,NA,1,NA,NA,NA,NA,NA,NA,NA,1,7102014,57.676,-170.29647,73,2.8
201401,I-21,0.0144787055464095,132770.92305235215,20141303,Chionoecetes opilio,2,55,NA,2,0,0,0,,0,2014,6,EBS,SAP,2,A8,Leg muscle,"Frozen at sea, then transferred to 100% EtOH",Used Up/Thrown Away,201401_94_125,94,125,NA,1,NA,NA,NA,NA,NA,NA,NA,0,7102014,57.676,-170.29647,73,2.8
201401,I-21,0.0144787055464095,132770.92305235215,20141304,Chionoecetes opilio,2,55,NA,2,0,0,0,,0,2014,6,EBS,SAP,2,A9,Leg muscle,"Frozen at sea, then transferred to 100% EtOH",Used Up/Thrown Away,201401_94_125,94,125,NA,1,NA,NA,NA,NA,NA,NA,NA,0,7102014,57.676,-170.29647,73,2.8
201401,I-21,0.0144787055464095,132770.92305235215,20141305,Chionoecetes opilio,2,55,NA,2,0,0,0,,0,2014,6,EBS,SAP,2,C9,Leg muscle,"Frozen at sea, then transferred to 100% EtOH",Used Up/Thrown Away,201401_94_125,94,125,NA,1,NA,NA,NA,NA,NA,NA,NA,0,7102014,57.676,-170.29647,73,2.8
201401,I-21,0.0144787055464095,132770.92305235215,20141306,Chionoecetes opilio,2,55,NA,2,4,1,5,,0,2014,6,EBS,SAP,2,F9,Leg muscle,"Frozen at sea, then transferred to 100% EtOH",Used Up/Thrown Away,201401_94_125,94,125,NA,1,NA,NA,NA,NA,NA,NA,NA,1,7102014,57.676,-170.29647,73,2.8
201401,I-21,0.0144787055464095,132770.92305235215,20141307,Chionoecetes opilio,2,55,NA,2,0,0,0,,0,2014,6,EBS,SAP,2,G9,Leg muscle,"Frozen at sea, then transferred to 100% EtOH",Used Up/Thrown Away,201401_94_125,94,125,NA,1,NA,NA,NA,NA,NA,NA,NA,0,7102014,57.676,-170.29647,73,2.8
201401,I-21,0.0144787055464095,132770.92305235215,20141315,Chionoecetes opilio,2,56,NA,2,4,1,5,,0,2014,6,EBS,SAP,2,B6,Leg muscle,"Frozen at sea, then transferred to 100% EtOH",Used Up/Thrown Away,201401_94_125,94,125,NA,1,NA,NA,NA,NA,NA,NA,NA,1,7102014,57.676,-170.29647,73,2.8
201401,I-21,0.0144787055464095,132770.92305235215,20141316,Chionoecetes opilio,2,56,NA,2,0,0,0,,0,2014,6,EBS,SAP,2,C6,Leg muscle,"Frozen at sea, then transferred to 100% EtOH",Used Up/Thrown Away,201401_94_125,94,125,NA,1,NA,NA,NA,NA,NA,NA,NA,0,7102014,57.676,-170.29647,73,2.8
201401,I-21,0.0144787055464095,132770.92305235215,20141317,Chionoecetes opilio,2,56,NA,2,0,0,0,,0,2014,6,EBS,SAP,2,H8,Leg muscle,"Frozen at sea, then transferred to 100% EtOH",Used Up/Thrown Away,201401_94_125,94,125,NA,1,NA,NA,NA,NA,NA,NA,NA,0,7102014,57.676,-170.29647,73,2.8
201401,I-21,0.0144787055464095,132770.92305235215,20141321,Chionoecetes opilio,2,57,NA,2,0,0,0,,0,2014,6,EBS,SAP,2,A6,Leg muscle,"Frozen at sea, then transferred to 100% EtOH",Used Up/Thrown Away,201401_94_125,94,125,NA,1,NA,NA,NA,NA,NA,NA,NA,0,7102014,57.676,-170.29647,73,2.8
201401,I-21,0.0144787055464095,132770.92305235215,20141322,Chionoecetes opilio,2,57,NA,2,4,1,5,,0,2014,6,EBS,SAP,2,D7,Leg muscle,"Frozen at sea, then transferred to 100% EtOH",Used Up/Thrown Away,201401_94_125,94,125,NA,1,NA,NA,NA,NA,NA,NA,NA,1,7102014,57.676,-170.29647,73,2.8
201401,I-21,0.0144787055464095,132770.92305235215,20141323,Chionoecetes opilio,2,57,NA,2,0,0,0,,0,2014,6,EBS,SAP,2,E7,Leg muscle,"Frozen at sea, then transferred to 100% EtOH",Used Up/Thrown Away,201401_94_125,94,125,NA,1,NA,NA,NA,NA,NA,NA,NA,0,7102014,57.676,-170.29647,73,2.8
201401,I-21,0.0144787055464095,132770.92305235215,20141331,Chionoecetes opilio,2,58,NA,2,4,1,5,,0,2014,6,EBS,SAP,2,F7,Leg muscle,"Frozen at sea, then transferred to 100% EtOH",Used Up/Thrown Away,201401_94_125,94,125,NA,1,NA,NA,NA,NA,NA,NA,NA,1,7102014,57.676,-170.29647,73,2.8
201401,I-21,0.0144787055464095,132770.92305235215,20141332,Chionoecetes opilio,2,58,NA,2,0,0,0,,0,2014,6,EBS,SAP,2,C8,Leg muscle,"Frozen at sea, then transferred to 100% EtOH",Used Up/Thrown Away,201401_94_125,94,125,NA,1,NA,NA,NA,NA,NA,NA,NA,0,7102014,57.676,-170.29647,73,2.8
201401,I-21,0.0144787055464095,132770.92305235215,20141337,Chionoecetes opilio,2,60,NA,2,4,1,5,,0,2014,6,EBS,SAP,2,D8,Leg muscle,"Frozen at sea, then transferred to 100% EtOH",Used Up/Thrown Away,201401_94_125,94,125,NA,1,NA,NA,NA,NA,NA,NA,NA,1,7102014,57.676,-170.29647,73,2.8
201401,I-21,0.0144787055464095,132770.92305235215,20141341,Chionoecetes opilio,2,67,NA,2,4,1,5,,0,2014,6,EBS,SAP,2,B8,Leg muscle,"Frozen at sea, then transferred to 100% EtOH",Used Up/Thrown Away,201401_94_125,94,125,NA,1,NA,NA,NA,NA,NA,NA,NA,1,7102014,57.676,-170.29647,73,2.8
201401,I-22,0.0143836352469348,2641.891242903836,20140795,Chionoecetes opilio,1,50,NA,2,NA,NA,NA,,0,2014,6,EBS,SAP,2,B12,Leg muscle,"Frozen at sea, then transferred to 100% EtOH",Used Up/Thrown Away,201401_94_127,94,127,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,7112014,57.68529,-170.89409,86,3.4
